Question,Options,Answer
"Which of the following option best applies for the next definition:  It's a general reusable solution to a commonly occurring problem within a given context.","Refactor,Software Design Pattern,Entrepreneurship,Style",1
"Is a function of its components as well as the hierarchic relationships among these components?","Architecture,Design,Leadership,Style",0
"An encapsulated part of a software system that serve as a building block for the structure of a system.","Design,Pattern,Style,Component",3
"Pattern that uses a technique that allows an aggregate object to provide the outside world with a way to access its collection of subobjects.","Refactoring,Template Method,Iterator,Adapter",2
"Pattern that defines a family of objects, that do the same things and are interchangeable according to the need of the user.","Strategy,Observer ,Decorator,Command",0
"Pattern which idea is to build an abstract base class with a skeletal method.","Adapter ,Template Method,Decorator,Command",1
"Which design pattern allows you to build components that known the activities of other components without having to couple everything together ?","Strategy,Skeletor,Observer,Adapter",2
"An _____ supports the interface that we need on the outside, but it implements that interface by making calls to an object hidden inside.","Instance,Adapter,Architect,Driver",1
"With this pattern, we construct objects that know how to perform some very specific actions, this pattern also encapsulates a request as an object.","Decorator,Iterator,Command,Adapter",2
"The____ pattern also allows you to layer features atop one another so that you can construct objects that have exactly the right set of capabilities that you need for any given situation.","Decorator,Strategy,Command,Iterator",0
"Which design pattern suggests that we build up bigger objects from small sub-objects, which might themselves be made up of still smaller sub-sub-objects.","Iterator,Composite,Command,Refractory",1
"What are the two kinds of iterators presented in the book “Design Patterns in Ruby” by Russ Olsen.","Internal/External,On/Off ,Interpreted/Non-Interpreted,None of the previous options",0
"The following problems can be solved with which design pattern? +Protecting an object from unauthorized access.+ Delaying the creation of an expensive object until the last possible instant.","Command,Template,Iterator,Proxy",3
"This design pattern is simply the “Template Method” pattern, but applied to creating new objects.","Abstract Factory,Factory Method,Proxy,Command",1
"This pattern is dedicated to create an interface for a compatible set of objects, without specifying their concrete classes.","Factory Method,Abstract Factory,Proxy,Command",1
"Technique for creating just the classes and objects that you need, dynamically at runtime.","DSL,Composite,Proxy,Meta-programming",3
"The ___ pattern suggests that you should focus on the language itself, not on the interpreter. It says that sometimes you can make problems easier to solve by giving the user a convenient syntax for expressing the problem in the first place.","Meta-Programming,Domain-Specific Language (DSL) ,Composite,Abstract Factory",1
"Is an architectural style that structures an application as a collection of services.","Microservices,Proxy,Template Method,DSL",0
"This design pattern reduces coupling between components of a program by making them communicate indirectly, through a special mediator object.","Command,Iterator,Mediator,Composite",2
"The ____ pattern suggests that you provide an object that takes a multipart specification of your new object and deals with all the complexity of creating that object. In other words, this pattern allows you to build complex objects step by step.","Prototype,Observer,Builder,Mediator",2
"The ____ is found indesigns where one class monopolizes the processing, and other classes primarily encapsulate data.","Lava Flow,Bolb,Boat Anchor,Poltergeist",1
"The key problem in _____ is that the majority of the responsibilities are allocated to a single class.","Lava Flow,Poltergeist ,Boat Anchor,Bolb",3
"An important stabilizing factor in the technology market is open systems standards. A consortium standard is the product of an industry consensus that requires time and investment. This is a solution of what antipattern?","Continuous Obsolescence,Bolb,Dead end,Poltergeist",0
"This antiPattern is commonly found in systems that originated as research but ended up in production.","Poltergeist,Bolb,Lava Flow ,Golden Hammer",2
"Dead code and forgotten design information is frozen in an ever-changing design. This is a characteristic of the _____ antipattern.","Lava Flow ,Golden Hammer ,Bolb,Boat Anchor",0
"Are classes with limited responsibilities and roles to play in the system; therefore, their effective life cycle is quite brief.","Dead Ends,Golden Hammers,Lava Flows,Poltergeists",3
"This AntiPattern is typical in cases where designers familiar with process modeling but new to object-oriented design define architectures. In this AntiPattern, it is possible to identify one or more ghostlike apparition classes that appear only briefly to initiate some action in another more permanent class.","Boat Anchor,Poltergeist,Dead end,Input Kludge",1
"A __________ is a piece of software or hardware that serves no useful purpose on the current project. Often is a costly acquisition, which makes the purchase even more ironic.","Bolb,Lava Flow,Boat Anchor,Poltergeist",2
"A software development team has gained a high level of competence in a particular solution or vendor product, referred to here as the __________. ","Bolb,Poltergeist,Dead End,Golden Hammer",3
"This AntiPattern results in the misapplication of a favored tool or concept. Developers and managers are comfortable with an existing approach and unwilling to learn and apply one that is better suited.","Golden Hammer,Boat Anchor,Poltergeist,Lava Flow",0
"A _________ is reached by modifying a reusable component, if the modified component is no longer maintained and supported by the supplier. When these modifications are made, the support burden transfers to the application system developers and maintainers.","Poltergeist,Lava Flow,Dead End,Input Kludge",2
"Nonobject-oriented languages appear to be more susceptible to this AntiPattern, but it is fairly common among developers who have yet to fully master the advanced concepts underlying object orientation.","Spaghetti Code,Bolb,Lava Flow,Golden Hammer",0
"Software that fails straightforward behavioral tests may be an example of _________, which occurs when ad hoc algorithms are employed for handling program input.","The Golden Hammmer,Bolb,Poltergeist,Input Kludge",3
"__________________ is a very common, but degenerate form of software reuse which creates maintenance nightmares. It comes from the notion that it's easier to modify existing software than program from scratch. ","Cut & Paste programming,Golden Hammer,Bolb,Lava Flow",0
"This AntiPattern is identified by the presence of several similar segments of code interspersed throughout the software project. Usually, the project contains many programmers who are learning how to develop software","Poltergeist,Cut & Paste programming,Golden Hammer,Bolb",1
